Date,Holiday,Day
1/1/2010,New Year's Day 2010,Friday
1/18/2010,Martin Luther King Day 2010,Monday
1/24/2010,Belly Laugh Day 2010,Sunday
2/2/2010,Groundhog Day 2010,Tuesday
2/12/2010,Lincoln's Birthday 2010,Friday
2/14/2010,Valentine's Day 2010,Sunday
2/15/2010,Presidents Day and Washington's Birthday 2010,Monday
2/16/2010,Mardi Gras Carnival 2010,Tuesday
3/14/2010,Spring Daylight Saving 2010,Sunday
3/17/2010,St. Patrick's Day 2010,Wednesday
4/1/2010,April Fool's Day 2010,Thursday
4/2/2010,Good Friday 2010,Friday
4/4/2010,Easter 2010,Sunday
4/5/2010,Easter Monday 2010,Monday
4/22/2010,Earth Day 2010,Thursday
5/5/2010,Cinco de Mayo 2010,Wednesday
5/9/2010,Mother's Day 2010,Sunday
5/15/2010,Armed Forces Day 2010,Saturday
5/23/2010,Pentecost 2010,Sunday
5/24/2010,Pentecost Monday 2010,Monday
5/31/2010,Memorial Day 2010,Monday
6/14/2010,Flag Day 2010,Monday
6/20/2010,Father's Day 2010,Sunday
7/4/2010,Independence Day 2010,Sunday
7/25/2010,Parents' Day 2010,Sunday
9/6/2010,Labor Day 2010,Monday
9/11/2010,Patriot Day or September 11th 2010,Saturday
9/12/2010,Grandparents' Day 2010,Sunday
9/16/2010,Stepfamily Day 2010,Thursday
9/17/2010,Citizenship Day 2010,Friday
9/24/2010,Native American Day 2010,Friday
10/11/2010,Columbus Day 2010,Monday
10/16/2010,Boss's Day 2010,Saturday
10/16/2010,Sweetest Day 2010,Saturday
10/31/2010,Halloween 2010,Sunday
11/7/2010,Fall Daylight Saving 2010,Sunday
11/11/2010,Veterans' Day 2010,Thursday
11/25/2010,Thanksgiving 2010,Thursday
11/26/2010,Black Friday 2010,Friday
11/29/2010,Cyber Monday 2010,Monday
12/7/2010,Pearl Harbor Remembrance Day 2010,Tuesday
12/25/2010,Christmas Day 2010,Saturday
12/31/2010,New Year's Eve 2010,Friday
1/1/2011,New Year's Day 2011,Saturday
1/17/2011,Martin Luther King Day 2011,Monday
1/24/2011,Belly Laugh Day 2011,Monday
2/2/2011,Groundhog Day 2011,Wednesday
2/12/2011,Lincoln's Birthday 2011,Saturday
2/14/2011,Valentine's Day 2011,Monday
