,Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location,month_year,Year,Month
24471,2010060248,1/3/2010 3:20,1,0,0,N,N,468059,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),2910 HOBSON PIKE,HERMITAGE,TN,37076,8909,SOUTH,36.087,-86.5624,"(36.087, -86.5624)",2010-01,2010,1
24412,2010057296,1/4/2010 3:30,1,0,0,N,N,628640,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),BELL RD & BRITTANY PARK DR,ANTIOCH,TN,37013,8719,SOUTH,36.0468,-86.6794,"(36.0468, -86.6794)",2010-01,2010,1
24811,2010078901,1/11/2010 6:10,1,0,0,N,N,226811,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),OLD HICKORY BLVD & PETTUS RD,ANTIOCH,TN,37013,8767,SOUTH,36.0269,-86.6808,"(36.0269, -86.6808)",2010-01,2010,1
24940,2010086510,1/13/2010 17:20,1,0,0,N,N,633385,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),6354 PETTUS RD,,TN,37013,8767,SOUTH,35.9978,-86.6777,"(35.9978, -86.6777)",2010-01,2010,1
25359,2010100800,1/18/2010 19:30,1,0,0,N,N,420035,2,HEAD-ON,1,NO ADVERSE CONDITIONS,5,DUSK,50,DEER (ANIMAL),BRICK CHURCH PIKE & QUAIL RIDGE DR,WHITES CREEK,TN,37189,2105,MADISO,36.2871,-86.7825,"(36.2871, -86.7825)",2010-01,2010,1
25478,2010101207,1/19/2010 0:21,1,0,0,N,N,620062,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),TULIP GROVE RD&TULIP GROVE PT,HERMITAGE,TN,37076,9539,HERMIT,36.1811,-86.5951,"(36.1811, -86.5951)",2010-01,2010,1
25992,2010103725,1/19/2010 19:01,1,0,0,N,N,632449,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CUB CREEK RD & RIVER ROAD PIKE,,TN,37209,4705,,36.1927,-86.9625,"(36.1927, -86.9625)",2010-01,2010,1
26138,2010107231,1/20/2010 19:58,1,0,0,N,N,646690,2,HEAD-ON,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-01,2010,1
26140,2010107296,1/20/2010 20:25,1,0,0,N,N,404012,2,HEAD-ON,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),GRANNY WHITE PIKE & OTTER CREEK CT,NASHVILLE,TN,37215,6305,MIDTOW,36.0644,-86.8132,"(36.0644, -86.8132)",2010-01,2010,1
26175,2010109628,1/21/2010 12:43,1,0,0,N,N,224680,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),4509 OLD HICKORY BLVD,NASHVILLE,TN,37218,3327,NORTH,36.1739,-86.9307,"(36.1739, -86.9307)",2010-01,2010,1
26338,2010120238,1/25/2010 7:15,1,0,0,N,N,453871,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-01,2010,1
26381,2010123404,1/26/2010 7:05,1,0,0,N,N,58394,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CLARKSVILLE PIKE & SIMPKINS RD,WHITES CREEK,TN,37189,3241,NORTH,36.269,-86.86,"(36.269, -86.86)",2010-01,2010,1
26438,2010128322,1/27/2010 18:15,1,0,0,N,N,630628,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),ASHLAND CITY HWY & BRILEY PKWY N,NASHVILLE,TN,37218,3247,NORTH,36.2098,-86.8716,"(36.2098, -86.8716)",2010-01,2010,1
